years_bp,geomagnetic_vadm
1832,8.368
1833,8.37
1834,8.372
1835,8.374
1836,8.376
1837,8.376
1838,8.378
1839,8.378
1840,8.378
1841,8.38
1842,8.382
1843,8.384
1844,8.386
1845,8.386
1846,8.386
1847,8.384
1848,8.38
1849,8.376
1850,8.368
1851,8.36
1852,8.35
1853,8.34
1854,8.33
1855,8.32
1856,8.31
1857,8.3
1858,8.292
1859,8.284
1860,8.28
1861,8.278
1862,8.278
1863,8.28
1864,8.284
1865,8.29
1866,8.296
1867,8.3
1868,8.306
1869,8.312
1870,8.316
1871,8.32
1872,8.322
1873,8.322
1874,8.322
1875,8.32
1876,8.318
1877,8.316
1878,8.316
1879,8.314
1880,8.312
1881,8.312
1882,8.312
1883,8.314
1884,8.314
1885,8.316
1886,8.32
1887,8.322
1888,8.324
1889,8.328
1890,8.332
1891,8.334
1892,8.338
1893,8.34
1894,8.342
1895,8.344
1896,8.344
1897,8.344
1898,8.342
1899,8.338
1900,8.334
1901,8.328
1902,8.324
1903,8.318
1904,8.312
1905,8.306
1906,8.3
1907,8.296
1908,8.29
1909,8.286
1910,8.282
1911,8.278
1912,8.274
1913,8.27
1914,8.266
1915,8.264
1916,8.262
1917,8.26
1918,8.258
1919,8.26
1920,8.26
1921,8.262
1922,8.264
1923,8.268
1924,8.272
1925,8.276
1926,8.28
1927,8.284
1928,8.288
1929,8.292
1930,8.294
1931,8.296
1932,8.298
1933,8.298
1934,8.298
1935,8.296
1936,8.296
1937,8.296
1938,8.294
1939,8.294
1940,8.294
1941,8.296
1942,8.298
1943,8.3
1944,8.304
1945,8.308
1946,8.314
1947,8.322
1948,8.33
1949,8.336
1950,8.342
1951,8.346
1952,8.35
1953,8.35
1954,8.348
1955,8.344
1956,8.34
1957,8.332
1958,8.324
1959,8.314
1960,8.304
1961,8.292
1962,8.28
1963,8.268
1964,8.258
1965,8.252
1966,8.244
1967,8.24
1968,8.236
1969,8.234
1970,8.232
1971,8.23
1972,8.228
1973,8.226
1974,8.226
1975,8.224
1976,8.222
1977,8.22
1978,8.218
1979,8.216
1980,8.214
1981,8.212
1982,8.212
1983,8.212
1984,8.214
1985,8.218
1986,8.222
1987,8.226
1988,8.232
1989,8.238
1990,8.244
1991,8.25
1992,8.256
1993,8.264
1994,8.27
1995,8.278
1996,8.284
1997,8.29
1998,8.298
1999,8.304
2000,8.312
2001,8.32
2002,8.326
2003,8.334
2004,8.342
2005,8.348
2006,8.354
2007,8.358
2008,8.362
2009,8.364
2010,8.364
2011,8.364
2012,8.362
2013,8.358
2014,8.354
2015,8.348
2016,8.344
2017,8.336
2018,8.33
2019,8.324
2020,8.318
2021,8.31
2022,8.304
2023,8.298
2024,8.292
2025,8.286
2026,8.28
2027,8.274
2028,8.268
2029,8.264
2030,8.258
2031,8.254
2032,8.25
2033,8.246
2034,8.242
2035,8.24
2036,8.238
2037,8.238
2038,8.238
2039,8.24
2040,8.24
2041,8.244
2042,8.246
2043,8.25
2044,8.254
2045,8.256
2046,8.258
2047,8.26
2048,8.26
2049,8.262
2050,8.262
2051,8.262
2052,8.264
2053,8.264
2054,8.264
2055,8.264
2056,8.264
2057,8.264
2058,8.264
2059,8.264
2060,8.262
2061,8.26
2062,8.26
2063,8.258
2064,8.256
2065,8.256
2066,8.254
2067,8.252
2068,8.252
2069,8.25
2070,8.25
2071,8.248
2072,8.248
2073,8.246
2074,8.246
2075,8.244
2076,8.242
2077,8.238
2078,8.234
2079,8.23
2080,8.226
2081,8.22
2082,8.216
2083,8.212
2084,8.208
2085,8.204
2086,8.2
2087,8.196
2088,8.19
2089,8.186
2090,8.182
2091,8.178
2092,8.176
2093,8.172
2094,8.172
2095,8.17
2096,8.172
2097,8.172
2098,8.176
2099,8.178
2100,8.18
2101,8.182
2102,8.182
2103,8.182
2104,8.182
2105,8.182
2106,8.18
2107,8.178
2108,8.178
2109,8.176
2110,8.176
2111,8.174
2112,8.174
2113,8.174
2114,8.176
2115,8.178
2116,8.18
2117,8.182
2118,8.186
2119,8.19
2120,8.196
2121,8.2
2122,8.206
2123,8.212
2124,8.218
2125,8.224
2126,8.228
2127,8.232
2128,8.232
2129,8.232
2130,8.23
2131,8.228
2132,8.222
2133,8.218
2134,8.212
2135,8.204
2136,8.198
2137,8.194
2138,8.188
2139,8.184
2140,8.18
2141,8.178
2142,8.178
2143,8.178
2144,8.18
2145,8.184
2146,8.19
2147,8.196
2148,8.204
2149,8.212
2150,8.222
2151,8.23
2152,8.24
2153,8.25
2154,8.258
2155,8.268
2156,8.276
2157,8.282
2158,8.288
2159,8.292
2160,8.294
2161,8.296
2162,8.294
2163,8.292
2164,8.288
2165,8.284
2166,8.278
2167,8.272
2168,8.266
2169,8.26
2170,8.254
2171,8.25
2172,8.246
2173,8.242
2174,8.242
2175,8.24
2176,8.242
2177,8.244
2178,8.25
2179,8.256
2180,8.264
2181,8.272
2182,8.28
2183,8.288
2184,8.296
2185,8.3
2186,8.302
2187,8.302
2188,8.298
2189,8.292
2190,8.286
2191,8.278
2192,8.268
2193,8.26
2194,8.252
2195,8.244
2196,8.238
2197,8.232
2198,8.228
2199,8.224
2200,8.222
2201,8.22
2202,8.218
2203,8.218
2204,8.218
2205,8.218
2206,8.218
2207,8.218
2208,8.22
2209,8.222
2210,8.222
2211,8.224
2212,8.224
2213,8.224
2214,8.224
2215,8.224
2216,8.224
2217,8.222
2218,8.22
2219,8.218
2220,8.214
2221,8.21
2222,8.204
2223,8.198
2224,8.192
2225,8.186
2226,8.178
2227,8.17
2228,8.162
2229,8.156
2230,8.148
2231,8.14
2232,8.132
2233,8.124
2234,8.116
2235,8.11
2236,8.104
2237,8.098
2238,8.092
2239,8.088
2240,8.082
2241,8.078
2242,8.076
2243,8.072
2244,8.07
2245,8.066
2246,8.064
2247,8.062
2248,8.06
2249,8.058
2250,8.056
2251,8.052
2252,8.05
2253,8.048
2254,8.044
2255,8.04
2256,8.036
2257,8.032
2258,8.028
2259,8.022
2260,8.016
2261,8.008
2262,8.002
2263,7.994
2264,7.986
2265,7.978
2266,7.97
2267,7.96
2268,7.952
2269,7.944
2270,7.934
2271,7.926
2272,7.918
2273,7.91
2274,7.902
2275,7.894
2276,7.888
2277,7.882
2278,7.876
2279,7.87
2280,7.866
2281,7.864
2282,7.86
2283,7.858
2284,7.858
2285,7.858
2286,7.86
2287,7.862
2288,7.866
2289,7.87
2290,7.874
2291,7.878
2292,7.884
2293,7.89
2294,7.898
2295,7.904
2296,7.912
2297,7.918
2298,7.926
2299,7.934
2300,7.942
2301,7.948
2302,7.956
2303,7.962
2304,7.968
2305,7.974
2306,7.98
2307,7.986
2308,7.99
2309,7.994
2310,7.998
2311,8.0
2312,8.002
2313,8.004
2314,8.004
2315,8.004
2316,8.004
2317,8.004
2318,8.004
2319,8.004
2320,8.004
2321,8.004
2322,8.004
2323,8.004
2324,8.004
2325,8.004
2326,8.004
2327,8.004
2328,8.006
2329,8.008
2330,8.01
2331,8.012
2332,8.016
2333,8.02
2334,8.024
2335,8.03
2336,8.038
2337,8.044
2338,8.052
2339,8.06
2340,8.068
2341,8.078
2342,8.088
2343,8.098
2344,8.106
2345,8.118
2346,8.128
2347,8.138
2348,8.148
2349,8.158
2350,8.168
2351,8.178
2352,8.188
2353,8.198
2354,8.208
2355,8.216
2356,8.226
2357,8.234
2358,8.24
2359,8.248
2360,8.254
2361,8.26
2362,8.264
2363,8.27
2364,8.272
2365,8.276
2366,8.28
2367,8.282
2368,8.284
2369,8.286
2370,8.286
2371,8.286
2372,8.286
2373,8.286
2374,8.286
2375,8.284
2376,8.282
2377,8.28
2378,8.278
2379,8.276
2380,8.272
2381,8.268
2382,8.264
2383,8.26
2384,8.256
2385,8.252
2386,8.246
2387,8.242
2388,8.236
2389,8.232
2390,8.226
2391,8.222
2392,8.216
2393,8.212
2394,8.208
2395,8.204
2396,8.2
2397,8.196
2398,8.194
2399,8.192
2400,8.19
2401,8.188
2402,8.188
2403,8.186
2404,8.186
2405,8.186
2406,8.186
2407,8.186
2408,8.186
2409,8.188
2410,8.186
2411,8.186
2412,8.186
2413,8.184
2414,8.182
2415,8.182
2416,8.18
2417,8.178
2418,8.176
2419,8.172
2420,8.17
2421,8.168
2422,8.166
2423,8.166
2424,8.164
2425,8.162
2426,8.162
2427,8.16
2428,8.16
2429,8.16
2430,8.158
2431,8.158
2432,8.158
2433,8.158
2434,8.156
2435,8.156
2436,8.154
2437,8.154
2438,8.152
2439,8.15
2440,8.148
2441,8.146
2442,8.144
2443,8.142
2444,8.14
2445,8.136
2446,8.132
2447,8.13
2448,8.126
2449,8.122
2450,8.118
2451,8.114
2452,8.11
2453,8.106
2454,8.102
2455,8.098
2456,8.094
2457,8.092
2458,8.09
2459,8.088
2460,8.086
2461,8.086
2462,8.088
2463,8.088
2464,8.09
2465,8.092
2466,8.094
2467,8.098
2468,8.1
2469,8.1
2470,8.102
2471,8.102
2472,8.102
2473,8.1
2474,8.096
2475,8.092
2476,8.086
2477,8.08
2478,8.074
2479,8.066
2480,8.06
2481,8.054
2482,8.05
2483,8.046
2484,8.044
2485,8.042
2486,8.044
2487,8.046
2488,8.052
2489,8.058
2490,8.066
2491,8.074
2492,8.082
2493,8.092
2494,8.1
2495,8.108
2496,8.116
2497,8.122
2498,8.128
2499,8.13
2500,8.132
2501,8.132
2502,8.13
2503,8.128
2504,8.124
2505,8.12
2506,8.116
2507,8.112
2508,8.108
2509,8.106
2510,8.102
2511,8.1
2512,8.1
2513,8.1
2514,8.1
2515,8.102
2516,8.102
2517,8.104
2518,8.106
2519,8.106
2520,8.108
2521,8.108
2522,8.108
2523,8.106
2524,8.104
2525,8.1
2526,8.098
2527,8.092
2528,8.088
2529,8.084
2530,8.078
2531,8.074
2532,8.07
2533,8.068
2534,8.064
2535,8.064
2536,8.062
2537,8.064
2538,8.064
2539,8.068
2540,8.07
2541,8.074
2542,8.076
2543,8.08
2544,8.082
2545,8.086
2546,8.088
2547,8.088
2548,8.088
2549,8.088
2550,8.086
2551,8.082
2552,8.078
2553,8.074
2554,8.068
2555,8.062
2556,8.056
2557,8.048
2558,8.04
2559,8.034
2560,8.026
2561,8.02
2562,8.014
2563,8.008
2564,8.004
2565,8.0
2566,7.998
2567,7.996
2568,7.994
2569,7.994
2570,7.994
2571,7.994
2572,7.996
2573,7.998
2574,8.0
2575,8.0
2576,8.0
2577,7.998
2578,7.994
2579,7.988
2580,7.984
2581,7.978
2582,7.97
2583,7.964
2584,7.956
2585,7.95
2586,7.944
2587,7.94
2588,7.936
2589,7.932
2590,7.928
2591,7.924
2592,7.916
2593,7.908
2594,7.898
2595,7.89
2596,7.88
2597,7.87
2598,7.86
2599,7.85
2600,7.838
2601,7.826
2602,7.814
2603,7.802
2604,7.792
2605,7.782
2606,7.774
2607,7.77
2608,7.77
2609,7.776
2610,7.786
2611,7.802
2612,7.822
2613,7.84
2614,7.858
2615,7.872
2616,7.884
2617,7.892
2618,7.898
2619,7.904
2620,7.91
2621,7.914
2622,7.918
2623,7.92
2624,7.92
2625,7.918
2626,7.91
2627,7.902
2628,7.892
2629,7.88
2630,7.87
2631,7.858
2632,7.848
2633,7.838
2634,7.83
2635,7.822
2636,7.814
2637,7.806
2638,7.798
2639,7.788
2640,7.78
2641,7.77
2642,7.762
2643,7.752
2644,7.744
2645,7.7379999999999995
2646,7.732
2647,7.726
2648,7.72
2649,7.718
2650,7.716
2651,7.716
2652,7.714
2653,7.714
2654,7.71
2655,7.704
2656,7.696
2657,7.686
2658,7.674
2659,7.662
2660,7.652
2661,7.644
2662,7.638
2663,7.636
2664,7.638
2665,7.642
2666,7.648
2667,7.654
2668,7.658
2669,7.66
2670,7.662
2671,7.66
2672,7.66
2673,7.66
2674,7.658
2675,7.656
2676,7.654
2677,7.65
2678,7.648
2679,7.646
2680,7.644
2681,7.644
2682,7.646
2683,7.646
2684,7.646
2685,7.646
2686,7.648
2687,7.648
2688,7.648
2689,7.648
2690,7.648
2691,7.648
2692,7.648
2693,7.648
2694,7.65
2695,7.652
2696,7.656
2697,7.662
2698,7.668
2699,7.674
2700,7.678
2701,7.684
2702,7.688
2703,7.69
2704,7.694
2705,7.696
2706,7.7
2707,7.704
2708,7.706
2709,7.708
2710,7.708
2711,7.708
2712,7.706
2713,7.704
2714,7.704
2715,7.704
2716,7.706
2717,7.708
2718,7.712
2719,7.718
2720,7.726
2721,7.734
2722,7.742
2723,7.752
2724,7.762
2725,7.772
2726,7.78
2727,7.788
2728,7.796
2729,7.8
2730,7.8
2731,7.798
2732,7.794
2733,7.79
2734,7.786
2735,7.786
2736,7.788
2737,7.794
2738,7.8
2739,7.806
2740,7.814
2741,7.822
2742,7.83
2743,7.838
2744,7.846
2745,7.852
2746,7.856
2747,7.86
2748,7.864
2749,7.868
2750,7.872
2751,7.878
2752,7.886
2753,7.896
2754,7.908
2755,7.92
2756,7.932
2757,7.946
2758,7.956
2759,7.966
2760,7.974
2761,7.98
2762,7.984
2763,7.986
2764,7.988
2765,7.99
2766,7.992
2767,7.994
2768,7.996
2769,8.0
2770,8.002
2771,8.002
2772,8.002
2773,8.002
2774,8.0
2775,8.0
2776,8.0
2777,8.002
2778,8.006
2779,8.012
2780,8.02
2781,8.028
2782,8.036
2783,8.04
2784,8.046
2785,8.048
2786,8.052
2787,8.054
2788,8.056
2789,8.056
2790,8.056
2791,8.056
2792,8.054
2793,8.054
2794,8.054
2795,8.052
2796,8.052
2797,8.05
2798,8.05
2799,8.048
2800,8.046
2801,8.044
2802,8.042
2803,8.04
2804,8.036
2805,8.034
2806,8.032
2807,8.03
2808,8.028
2809,8.024
2810,8.022
2811,8.018
2812,8.016
2813,8.012
2814,8.008
2815,8.004
2816,8.0
2817,7.996
2818,7.992
2819,7.988
2820,7.982
2821,7.978
2822,7.972
2823,7.968
2824,7.962
2825,7.956
2826,7.95
2827,7.942
2828,7.936
2829,7.93
2830,7.924
2831,7.92
2832,7.914
2833,7.91
2834,7.904
2835,7.902
2836,7.898
2837,7.898
2838,7.896
2839,7.896
2840,7.898
2841,7.9
2842,7.904
2843,7.908
2844,7.912
2845,7.918
2846,7.924
2847,7.93
2848,7.936
2849,7.942
2850,7.948
2851,7.954
2852,7.96
2853,7.966
2854,7.97
2855,7.972
2856,7.976
2857,7.978
2858,7.98
2859,7.98
2860,7.982
2861,7.982
2862,7.982
2863,7.982
2864,7.982
2865,7.982
2866,7.982
2867,7.982
2868,7.982
2869,7.982
2870,7.984
2871,7.986
2872,7.988
2873,7.99
2874,7.994
2875,7.996
2876,8.0
2877,8.004
2878,8.008
2879,8.012
2880,8.016
2881,8.018
2882,8.022
2883,8.026
2884,8.028
2885,8.032
2886,8.034
2887,8.034
2888,8.036
2889,8.036
2890,8.034
2891,8.032
2892,8.03
2893,8.028
2894,8.024
2895,8.02
2896,8.014
2897,8.01
2898,8.004
2899,7.998
2900,7.992
2901,7.986
2902,7.98
2903,7.974
2904,7.968
2905,7.962
2906,7.956
2907,7.952
2908,7.946
2909,7.942
2910,7.938
2911,7.936
2912,7.934
2913,7.93
2914,7.93
2915,7.928
2916,7.926
2917,7.926
2918,7.924
2919,7.924
2920,7.924
2921,7.924
2922,7.926
2923,7.926
2924,7.926
2925,7.926
2926,7.928
2927,7.928
2928,7.93
2929,7.93
2930,7.93
2931,7.932
2932,7.932
2933,7.932
2934,7.932
2935,7.932
2936,7.932
2937,7.93
2938,7.93
2939,7.928
2940,7.926
2941,7.922
2942,7.92
2943,7.918
2944,7.916
2945,7.914
2946,7.912
2947,7.91
2948,7.908
2949,7.906
2950,7.906
2951,7.906
2952,7.908
2953,7.91
2954,7.912
2955,7.916
2956,7.92
2957,7.924
2958,7.93
2959,7.934
2960,7.94
2961,7.946
2962,7.952
2963,7.958
2964,7.962
2965,7.968
2966,7.972
2967,7.976
2968,7.978
2969,7.98
2970,7.982
2971,7.982
2972,7.98
2973,7.978
2974,7.974
2975,7.97
2976,7.966
2977,7.962
2978,7.956
2979,7.95
2980,7.944
2981,7.938
2982,7.932
2983,7.926
2984,7.92
2985,7.916
2986,7.91
2987,7.908
2988,7.904
2989,7.902
2990,7.902
2991,7.902
2992,7.902
2993,7.904
2994,7.908
2995,7.912
2996,7.916
2997,7.92
2998,7.926
2999,7.93
3000,7.934
3001,7.94
3002,7.944
3003,7.948
3004,7.952
3005,7.954
3006,7.956
3007,7.956
3008,7.956
3009,7.954
3010,7.952
3011,7.95
3012,7.946
3013,7.942
3014,7.938
3015,7.932
3016,7.928
3017,7.922
3018,7.918
3019,7.914
3020,7.91
3021,7.906
3022,7.902
3023,7.898
3024,7.896
3025,7.896
3026,7.894
3027,7.894
3028,7.892
3029,7.892
3030,7.892
3031,7.892
3032,7.892
3033,7.89
3034,7.89
3035,7.888
3036,7.886
3037,7.886
3038,7.882
3039,7.88
3040,7.876
3041,7.872
3042,7.868
3043,7.862
3044,7.858
3045,7.854
3046,7.85
3047,7.846
3048,7.842
3049,7.838
3050,7.834
3051,7.832
3052,7.83
3053,7.828
3054,7.826
3055,7.826
3056,7.826
3057,7.828
3058,7.828
3059,7.828
3060,7.83
3061,7.832
3062,7.834
3063,7.834
3064,7.836
3065,7.838
3066,7.84
3067,7.842
3068,7.844
3069,7.848
3070,7.85
3071,7.854
3072,7.86
3073,7.864
3074,7.87
3075,7.876
3076,7.884
3077,7.89
3078,7.896
3079,7.9
3080,7.906
3081,7.91
3082,7.912
3083,7.914
3084,7.916
3085,7.914
3086,7.914
3087,7.91
3088,7.906
3089,7.9
3090,7.892
3091,7.882
3092,7.872
3093,7.86
3094,7.85
3095,7.838
3096,7.828
3097,7.818
3098,7.812
3099,7.808
3100,7.804
3101,7.802
3102,7.802
3103,7.804
3104,7.806
3105,7.808
3106,7.812
3107,7.814
3108,7.818
3109,7.82
3110,7.824
3111,7.826
3112,7.828
3113,7.83
3114,7.83
3115,7.83
3116,7.828
3117,7.824
3118,7.82
3119,7.816
3120,7.81
3121,7.804
3122,7.798
3123,7.79
3124,7.784
3125,7.776
3126,7.77
3127,7.762
3128,7.756
3129,7.75
3130,7.744
3131,7.74
3132,7.736
3133,7.734
3134,7.732
3135,7.73
3136,7.73
3137,7.73
3138,7.73
3139,7.732
3140,7.732
3141,7.734
3142,7.736
3143,7.7379999999999995
3144,7.74
3145,7.742
3146,7.744
3147,7.744
3148,7.746
3149,7.746
3150,7.746
3151,7.746
3152,7.746
3153,7.746
3154,7.744
3155,7.742
3156,7.742
3157,7.74
3158,7.74
3159,7.74
3160,7.742
3161,7.744
3162,7.746
3163,7.75
3164,7.754
3165,7.758
3166,7.762
3167,7.768
3168,7.772
3169,7.776
3170,7.78
3171,7.782
3172,7.784
3173,7.786
3174,7.788
3175,7.788
3176,7.788
3177,7.788
3178,7.788
3179,7.788
3180,7.79
3181,7.79
3182,7.79
3183,7.79
3184,7.79
3185,7.79
3186,7.788
3187,7.786
3188,7.784
3189,7.78
3190,7.774
3191,7.77
3192,7.764
3193,7.758
3194,7.75
3195,7.744
3196,7.7379999999999995
3197,7.73
3198,7.724
3199,7.72
3200,7.714
3201,7.712
3202,7.71
3203,7.71
3204,7.71
3205,7.714
3206,7.718
3207,7.7219999999999995
3208,7.726
3209,7.732
3210,7.736
3211,7.742
3212,7.746
3213,7.75
3214,7.752
3215,7.756
3216,7.758
3217,7.758
3218,7.76
3219,7.76
3220,7.758
3221,7.758
3222,7.756
3223,7.754
3224,7.752
3225,7.75
3226,7.748
3227,7.748
3228,7.748
3229,7.748
3230,7.748
3231,7.75
3232,7.75
3233,7.75
3234,7.75
3235,7.75
3236,7.75
3237,7.748
3238,7.748
3239,7.746
3240,7.746
3241,7.744
3242,7.742
3243,7.742
3244,7.742
3245,7.74
3246,7.74
3247,7.742
3248,7.742
3249,7.744
3250,7.748
3251,7.75
3252,7.754
3253,7.758
3254,7.76
3255,7.762
3256,7.764
3257,7.766
3258,7.766
3259,7.766
3260,7.766
3261,7.766
3262,7.766
3263,7.766
3264,7.764
3265,7.764
3266,7.764
3267,7.766
3268,7.766
3269,7.768
3270,7.772
3271,7.774
3272,7.778
3273,7.782
3274,7.784
3275,7.786
3276,7.788
3277,7.786
3278,7.786
3279,7.784
3280,7.78
3281,7.774
3282,7.768
3283,7.76
3284,7.752
3285,7.742
3286,7.732
3287,7.7219999999999995
3288,7.71
3289,7.7
3290,7.69
3291,7.682
3292,7.674
3293,7.668
3294,7.662
3295,7.656
3296,7.65
3297,7.644
3298,7.638
3299,7.632
3300,7.624
3301,7.618
3302,7.61
3303,7.604
3304,7.598
3305,7.592
3306,7.586
3307,7.58
3308,7.576
3309,7.572
3310,7.568
3311,7.564
3312,7.56
3313,7.56
3314,7.558
3315,7.556
3316,7.556
3317,7.556
3318,7.556
3319,7.558
3320,7.558
3321,7.56
3322,7.562
3323,7.564
3324,7.566
3325,7.57
3326,7.572
3327,7.574
3328,7.578
3329,7.58
3330,7.584
3331,7.588
3332,7.59
3333,7.594
3334,7.596
3335,7.598
3336,7.602
3337,7.604
3338,7.606
3339,7.608
3340,7.61
3341,7.612
3342,7.612
3343,7.612
3344,7.614
3345,7.614
3346,7.614
3347,7.614
3348,7.614
3349,7.614
3350,7.614
3351,7.616
3352,7.616
3353,7.616
3354,7.618
3355,7.62
3356,7.62
3357,7.624
3358,7.626
3359,7.628
3360,7.632
3361,7.636
3362,7.64
3363,7.644
3364,7.648
3365,7.652
3366,7.656
3367,7.66
3368,7.664
3369,7.668
3370,7.67
3371,7.674
3372,7.676
3373,7.68
3374,7.682
3375,7.684
3376,7.686
3377,7.688
3378,7.69
3379,7.692
3380,7.694
3381,7.694
3382,7.696
3383,7.698
3384,7.698
3385,7.7
3386,7.702
3387,7.702
3388,7.704
3389,7.706
3390,7.706
3391,7.708
3392,7.71
3393,7.712
3394,7.714
3395,7.716
3396,7.72
3397,7.7219999999999995
3398,7.724
3399,7.726
3400,7.728
3401,7.73
3402,7.732
3403,7.734
3404,7.736
3405,7.7379999999999995
3406,7.74
3407,7.74
3408,7.742
3409,7.742
3410,7.742
3411,7.742
3412,7.742
3413,7.742
3414,7.742
3415,7.74
3416,7.7379999999999995
3417,7.736
3418,7.734
3419,7.73
3420,7.726
3421,7.7219999999999995
3422,7.716
3423,7.71
3424,7.704
3425,7.696
3426,7.688
3427,7.678
3428,7.67
3429,7.662
3430,7.654
3431,7.646
3432,7.638
3433,7.632
3434,7.626
3435,7.622
3436,7.618
3437,7.616
3438,7.616
3439,7.618
3440,7.62
3441,7.624
3442,7.628
3443,7.634
3444,7.64
3445,7.648
3446,7.654
3447,7.662
3448,7.67
3449,7.678
3450,7.686
3451,7.694
3452,7.702
3453,7.71
3454,7.72
3455,7.728
3456,7.736
3457,7.744
3458,7.75
3459,7.754
3460,7.754
3461,7.752
3462,7.748
3463,7.746
3464,7.744
3465,7.746
3466,7.75
3467,7.756
3468,7.762
3469,7.768
3470,7.772
3471,7.774
3472,7.77
3473,7.76
3474,7.746
3475,7.734
3476,7.7219999999999995
3477,7.718
3478,7.718
3479,7.724
3480,7.736
3481,7.748
3482,7.76
3483,7.766
3484,7.772
3485,7.774
3486,7.774
3487,7.776
3488,7.778
3489,7.78
3490,7.784
3491,7.786
3492,7.79
3493,7.792
3494,7.796
3495,7.8
3496,7.804
3497,7.806
3498,7.808
3499,7.806
3500,7.804
3501,7.798
3502,7.79
3503,7.782
3504,7.772
3505,7.764
3506,7.756
3507,7.754
3508,7.756
3509,7.76
3510,7.764
3511,7.766
3512,7.768
3513,7.768
3514,7.768
3515,7.766
3516,7.766
3517,7.766
3518,7.766
3519,7.764
3520,7.762
3521,7.758
3522,7.75
3523,7.742
3524,7.734
3525,7.726
3526,7.72
3527,7.714
3528,7.71
3529,7.708
3530,7.704
3531,7.702
3532,7.698
3533,7.694
3534,7.69
3535,7.684
3536,7.68
3537,7.678
3538,7.676
3539,7.674
3540,7.67
3541,7.664
3542,7.656
3543,7.648
3544,7.642
3545,7.64
3546,7.642
3547,7.644
3548,7.648
3549,7.652
3550,7.654
3551,7.654
3552,7.652
3553,7.648
